time,game_type,communicative_fraction_mean,order_parameter_mean,communicative_fraction_std,order_parameter_std
204000,allCommunicative,1.0,1.0,NaN,NaN
204800,allCommunicative,1.0,1.0,NaN,NaN
205600,allCommunicative,1.0,1.0,NaN,NaN
206400,allCommunicative,1.0,1.0,NaN,NaN
207200,allCommunicative,1.0,1.0,NaN,NaN
208000,allCommunicative,1.0,1.0,NaN,NaN
208800,allCommunicative,1.0,1.0,NaN,NaN
209600,allCommunicative,1.0,1.0,NaN,NaN
210400,allCommunicative,1.0,1.0,NaN,NaN
211200,allCommunicative,1.0,1.0,NaN,NaN
212000,allCommunicative,1.0,1.0,NaN,NaN
212800,allCommunicative,1.0,1.0,NaN,NaN
213600,allCommunicative,1.0,1.0,NaN,NaN
214400,allCommunicative,1.0,1.0,NaN,NaN
215200,allCommunicative,1.0,1.0,NaN,NaN
216000,allCommunicative,1.0,1.0,NaN,NaN
216800,allCommunicative,1.0,1.0,NaN,NaN
217600,allCommunicative,1.0,1.0,NaN,NaN
218400,allCommunicative,1.0,1.0,NaN,NaN
219200,allCommunicative,1.0,1.0,NaN,NaN
220000,allCommunicative,1.0,1.0,NaN,NaN
220800,allCommunicative,1.0,1.0,NaN,NaN
221600,allCommunicative,1.0,1.0,NaN,NaN
222400,allCommunicative,1.0,1.0,NaN,NaN
223200,allCommunicative,1.0,1.0,NaN,NaN
224000,allCommunicative,1.0,1.0,NaN,NaN
224800,allCommunicative,1.0,1.0,NaN,NaN
225600,allCommunicative,1.0,1.0,NaN,NaN
226400,allCommunicative,1.0,1.0,NaN,NaN
227200,allCommunicative,1.0,1.0,NaN,NaN
228000,allCommunicative,1.0,1.0,NaN,NaN
228800,allCommunicative,1.0,1.0,NaN,NaN
229600,allCommunicative,1.0,1.0,NaN,NaN
230400,allCommunicative,1.0,1.0,NaN,NaN
231200,allCommunicative,1.0,1.0,NaN,NaN
232000,allCommunicative,1.0,1.0,NaN,NaN
232800,allCommunicative,1.0,1.0,NaN,NaN
233600,allCommunicative,1.0,1.0,NaN,NaN
234400,allCommunicative,1.0,1.0,NaN,NaN
235200,allCommunicative,1.0,1.0,NaN,NaN
236000,allCommunicative,1.0,1.0,NaN,NaN
236800,allCommunicative,1.0,1.0,NaN,NaN
237600,allCommunicative,1.0,1.0,NaN,NaN
238400,allCommunicative,1.0,1.0,NaN,NaN
239200,allCommunicative,1.0,1.0,NaN,NaN
240000,allCommunicative,1.0,1.0,NaN,NaN
240800,allCommunicative,1.0,1.0,NaN,NaN
241600,allCommunicative,1.0,1.0,NaN,NaN
242400,allCommunicative,1.0,1.0,NaN,NaN
243200,allCommunicative,1.0,1.0,NaN,NaN
