time,game_type,communicative_fraction,communicative_fraction_std,order_parameter,order_parameter_std
344000,all_noncommunicative,0.0,0.0,1.0,0.0
344800,all_noncommunicative,0.0,0.0,1.0,0.0
345600,all_noncommunicative,0.0,0.0,1.0,0.0
346400,all_noncommunicative,0.0,0.0,1.0,0.0
347200,all_noncommunicative,0.0,0.0,1.0,0.0
348000,all_noncommunicative,0.0,0.0,1.0,0.0
348800,all_noncommunicative,0.0,0.0,1.0,0.0
349600,all_noncommunicative,0.0,0.0,1.0,0.0
350400,all_noncommunicative,0.0,0.0,1.0,0.0
351200,all_noncommunicative,0.0,0.0,1.0,0.0
352000,all_noncommunicative,0.0,0.0,1.0,0.0
352800,all_noncommunicative,0.0,0.0,1.0,0.0
353600,all_noncommunicative,0.0,0.0,1.0,0.0
354400,all_noncommunicative,0.0,0.0,1.0,0.0
355200,all_noncommunicative,0.0,0.0,1.0,0.0
356000,all_noncommunicative,0.0,0.0,1.0,0.0
356800,all_noncommunicative,0.0,0.0,1.0,0.0
357600,all_noncommunicative,0.0,0.0,1.0,0.0
358400,all_noncommunicative,0.0,0.0,1.0,0.0
359200,all_noncommunicative,0.0,0.0,1.0,0.0
360000,all_noncommunicative,0.0,0.0,1.0,0.0
360800,all_noncommunicative,0.0,0.0,1.0,0.0
361600,all_noncommunicative,0.0,0.0,1.0,0.0
362400,all_noncommunicative,0.0,0.0,1.0,0.0
363200,all_noncommunicative,0.0,0.0,1.0,0.0
364000,all_noncommunicative,0.0,0.0,1.0,0.0
364800,all_noncommunicative,0.0,0.0,1.0,0.0
365600,all_noncommunicative,0.0,0.0,1.0,0.0
366400,all_noncommunicative,0.0,0.0,1.0,0.0
367200,all_noncommunicative,0.0,0.0,1.0,0.0
368000,all_noncommunicative,0.0,0.0,1.0,0.0
368800,all_noncommunicative,0.0,0.0,1.0,0.0
369600,all_noncommunicative,0.0,0.0,1.0,0.0
370400,all_noncommunicative,0.0,0.0,1.0,0.0
