time,communicative_fraction,order_parameter,game_type
218401,1.0,1.0,all_communicative
219201,1.0,1.0,all_communicative
220001,1.0,1.0,all_communicative
220801,1.0,1.0,all_communicative
221601,1.0,1.0,all_communicative
222401,1.0,1.0,all_communicative
223201,1.0,1.0,all_communicative
224001,1.0,1.0,all_communicative
224801,1.0,1.0,all_communicative
225601,1.0,1.0,all_communicative
226401,1.0,1.0,all_communicative
227201,1.0,1.0,all_communicative
228001,1.0,1.0,all_communicative
228801,1.0,1.0,all_communicative
229601,1.0,1.0,all_communicative
230401,1.0,1.0,all_communicative
231201,1.0,1.0,all_communicative
232001,1.0,1.0,all_communicative
232801,1.0,1.0,all_communicative
233601,1.0,1.0,all_communicative
234401,1.0,1.0,all_communicative
235201,1.0,1.0,all_communicative
236001,1.0,1.0,all_communicative
236801,1.0,1.0,all_communicative
237601,1.0,1.0,all_communicative
238401,1.0,1.0,all_communicative
239201,1.0,1.0,all_communicative
240001,1.0,1.0,all_communicative
240801,1.0,1.0,all_communicative
241601,1.0,1.0,all_communicative
242401,1.0,1.0,all_communicative
243201,1.0,1.0,all_communicative
244001,1.0,1.0,all_communicative
244801,1.0,1.0,all_communicative
245601,1.0,1.0,all_communicative
246401,1.0,1.0,all_communicative
247201,1.0,1.0,all_communicative
248001,1.0,1.0,all_communicative
248801,1.0,1.0,all_communicative
249601,1.0,1.0,all_communicative
250401,1.0,1.0,all_communicative
251201,1.0,1.0,all_communicative
252001,1.0,1.0,all_communicative
252801,1.0,1.0,all_communicative
253601,1.0,1.0,all_communicative
254401,1.0,1.0,all_communicative
255201,1.0,1.0,all_communicative
256001,1.0,1.0,all_communicative
256801,1.0,1.0,all_communicative
257601,1.0,1.0,all_communicative
258401,1.0,1.0,all_communicative
259201,1.0,1.0,all_communicative
260001,1.0,1.0,all_communicative
260801,1.0,1.0,all_communicative
261601,1.0,1.0,all_communicative
262401,1.0,1.0,all_communicative
263201,1.0,1.0,all_communicative
264001,1.0,1.0,all_communicative
264801,1.0,1.0,all_communicative
265601,1.0,1.0,all_communicative
266401,1.0,1.0,all_communicative
267201,1.0,1.0,all_communicative
268001,1.0,1.0,all_communicative
268801,1.0,1.0,all_communicative
269601,1.0,1.0,all_communicative
270401,1.0,1.0,all_communicative
271201,1.0,1.0,all_communicative
272001,1.0,1.0,all_communicative
272801,1.0,1.0,all_communicative
273601,1.0,1.0,all_communicative
274401,1.0,1.0,all_communicative
275201,1.0,1.0,all_communicative
276001,1.0,1.0,all_communicative
276801,1.0,1.0,all_communicative
277601,1.0,1.0,all_communicative
278401,1.0,1.0,all_communicative
279201,1.0,1.0,all_communicative
280001,1.0,1.0,all_communicative
280801,1.0,1.0,all_communicative
281601,1.0,1.0,all_communicative
282401,1.0,1.0,all_communicative
283201,1.0,1.0,all_communicative
284001,1.0,1.0,all_communicative
284801,1.0,1.0,all_communicative
285601,1.0,1.0,all_communicative
286401,1.0,1.0,all_communicative
287201,1.0,1.0,all_communicative
288001,1.0,1.0,all_communicative
288801,1.0,1.0,all_communicative
289601,1.0,1.0,all_communicative
290401,1.0,1.0,all_communicative
291201,1.0,1.0,all_communicative
292001,1.0,1.0,all_communicative
292801,1.0,1.0,all_communicative
