src,dst
86,193
86,198
86,201
86,202
86,209
86,212
86,220
87,28
87,44
87,83
87,85
87,91
87,93
87,97
87,103
87,151
87,152
87,168
87,169
87,172
87,184
87,188
87,194
87,199
87,202
87,207
87,213
87,221
88,92
88,94
88,98
88,118
88,143
88,172
88,173
88,194
88,197
88,206
88,207
89,37
89,48
89,85
89,95
89,99
89,144
89,172
89,173
89,177
89,191
89,193
89,198
89,206
89,209
90,47
90,86
90,92
90,96
90,102
90,108
90,120
90,124
90,143
90,161
90,164
90,168
90,173
90,176
90,178
90,193
90,198
90,209
90,216
90,217
91,87
91,103
91,125
91,144
91,165
91,169
91,172
91,177
91,179
91,194
91,195
91,197
91,208
91,211
91,215
91,216
92,68
92,84
92,86
92,88
92,90
92,92
92,102
92,143
92,173
92,189
92,193
92,195
92,197
92,206
92,207
92,209
93,69
93,81
93,85
93,87
93,93
93,95
93,99
93,103
93,120
93,144
93,172
93,190
93,191
93,194
93,195
93,196
93,198
93,206
93,207
93,208
93,209
94,84
94,88
94,108
94,152
94,189
94,191
94,193
94,194
94,201
94,216
95,99
95,108
95,151
95,152
95,190
95,193
95,202
95,217
96,80
96,151
96,164
96,179
96,198
96,201
96,214
96,220
97,103
97,108
97,152
97,184
97,190
97,197
97,202
97,215
98,78
98,183
98,185
98,189
98,194
98,197
99,79
99,89
99,93
99,99
99,101
99,130
99,184
99,186
99,193
99,198
100,68
100,80
100,92
100,109
100,147
100,173
100,187
100,190
100,193
100,196
100,197
100,198
101,48
101,93
101,172
101,173
101,189
101,193
101,194
101,195
101,196
101,197
101,198
101,201
102,90
102,96
102,100
102,102
102,165
102,183
102,187
102,193
102,198
102,201
103,83
103,93
103,97
103,101
103,184
103,188
103,194
103,197
104,21
104,28
104,31
104,36
104,45
104,115
104,117
104,143
104,144
104,155
104,174
104,176
104,197
105,27
105,31
105,32
105,35
105,36
105,37
105,46
105,47
105,48
105,84
105,104
105,105
105,114
105,116
105,117
105,143
105,149
105,176
106,23
106,27
106,39
106,47
106,57
106,84
106,114
106,122
106,126
106,131
106,132
106,133
106,134
106,147
106,160
106,163
106,176
106,212
107,24
107,28
107,34
107,40
107,48
107,87
107,95
107,107
107,115
107,121
107,127
107,129
107,131
107,132
107,134
107,140
107,148
107,161
107,164
107,180
107,196
107,293
107,294
108,34
108,45
108,46
108,80
108,81
108,82
108,83
108,84
108,86
108,87
108,91
108,94
108,95
108,96
108,97
108,112
108,113
108,117
108,118
108,119
108,143
108,144
108,168
108,169
108,183
108,184
108,188
108,190
108,192
109,47
109,84
109,88
109,92
109,100
109,109
109,124
109,130
109,151
109,152
109,177
109,194
109,202
109,211
109,219
109,220
110,44
110,48
110,69
110,81
110,85
110,87
110,93
110,95
110,99
110,101
110,125
110,148
110,151
110,152
110,163
110,178
110,195
110,196
110,210
110,213
110,215
110,217
110,218
110,221
111,30
111,33
111,34
111,36
111,41
111,42
111,46
